0,2.718281827
0.01,2.931607154
0.02,2.129420955
0.03,2.460373903
0.04,4.188136923
0.05,2.733677612
0.06,2.427508806
0.07,3.447290422
0.08,3.725428907
0.09,2.135797952
0.1,4.123330198
0.11,3.381990458
0.12,4.81164036
0.13,1.625823511
0.14,1.768615094
0.15,3.215553398
0.16,3.092200558
0.17,5.827517267
0.18,4.29854768
0.19,2.740812057
0.2,5.757244789
0.21,3.537293039
0.22,1.955141651
0.23,2.991952968
0.24,3.287389309
0.25,4.707485784
0.26,6.243654056
0.27,5.8164493
0.28,4.884021166
0.29,4.759912832
0.3,7.252460027
0.31,5.929330816
0.32,7.003057604
0.33,5.222858744
0.34,5.161788691
0.35,7.261907261
0.36,6.405453346
0.37,6.255494966
0.38,6.560940768
0.39,6.535227912
0.4,8.148914196
0.41,7.776164224
0.42,7.401405009
0.43,8.756381128
0.44,7.20605672
0.45,7.577952207
0.46,8.215641798
0.47,9.840317976
0.48,6.967247941
0.49,9.906188955
0.5,9.271249457
0.51,9.875666632
0.52,10.34115293
0.53,9.553148338
0.54,11.36352097
0.55,10.88146811
0.56,13.06480587
0.57,11.47563869
0.58,11.3370451
0.59,13.23931816
0.6,13.52985211
0.61,14.04407921
0.62,13.30997194
0.63,13.67201635
0.64,14.85042272
0.65,14.25993739
0.66,14.77235202
0.67,17.43391859
0.68,17.46317715
0.69,17.75977656
0.7,16.82229398
0.71,19.94681779
0.72,20.54463593
0.73,21.37673302
0.74,20.14346107
0.75,20.30879754
0.76,23.25430057
0.77,23.43488057
0.78,22.87059189
0.79,24.09400274
0.8,25.41831142
0.81,25.52367474
0.82,27.97381379
0.83,28.5860815
0.84,29.57025529
0.85,29.67440296
0.86,32.66697467
0.87,34.26977369
0.88,33.51244522
0.89,36.14787386
0.9,39.24847202
0.91,40.98801812
0.92,41.5715569
0.93,41.36863694
0.94,44.28500655
0.95,42.83116918
0.96,47.7940568
0.97,48.59310045
0.98,51.84870457
0.99,51.02580902
